2022-08-25 02:17:32 INFO  TestBase:101 - Clicked on WebElement.....[[ChromeDriver: chrome on WINDOWS (8bc154b19dad1a05d62a7cd2b26bd2e1)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
2022-08-25 02:17:32 INFO  TestBase:17 - Test has passed successfully.....clickMyAccountTest
2022-08-25 02:17:34 INFO  TestBase:37 - Navigating to URLdata:,
2022-08-25 02:17:37 INFO  TestBase:42 - Navigated to URLhttps://naveenautomationlabs.com/opencart/index.php?route=common/home
2022-08-25 02:17:37 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:37 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
2022-08-25 02:17:37 INFO  TestBase:96 - clicking WebElement.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
2022-08-25 02:17:37 INFO  TestBase:101 - Clicked on WebElement.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #top-links ul li:nth-of-type(2) span:first-of-type]
2022-08-25 02:17:37 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:37 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #top-links ul.dropdown-menu li:last-of-type]
2022-08-25 02:17:37 INFO  TestBase:96 - clicking WebElement.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #top-links ul.dropdown-menu li:last-of-type]
2022-08-25 02:17:38 INFO  TestBase:101 - Clicked on WebElement.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #top-links ul.dropdown-menu li:last-of-type]
2022-08-25 02:17:38 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:38 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> id: input-email]
2022-08-25 02:17:38 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:38 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> id: input-password]
2022-08-25 02:17:38 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:38 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: input[type='submit']]
2022-08-25 02:17:38 INFO  TestBase:96 - clicking WebElement.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: input[type='submit']]
2022-08-25 02:17:39 INFO  TestBase:101 - Clicked on WebElement.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: input[type='submit']]
2022-08-25 02:17:39 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:39 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #content h2]
2022-08-25 02:17:39 INFO  TestBase:157 - Getting text from.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #content h2]
2022-08-25 02:17:39 INFO  TestBase:162 - Got text from.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #content h2] : My Account
2022-08-25 02:17:39 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:39 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: ul.nav.navbar-nav>li:nth-of-type(7)>a]
2022-08-25 02:17:39 INFO  TestBase:96 - clicking WebElement.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: ul.nav.navbar-nav>li:nth-of-type(7)>a]
2022-08-25 02:17:40 INFO  TestBase:101 - Clicked on WebElement.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: ul.nav.navbar-nav>li:nth-of-type(7)>a]
2022-08-25 02:17:40 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:40 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: div.product-layout:last-of-type button:first-of-type]
2022-08-25 02:17:40 INFO  TestBase:96 - clicking WebElement.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: div.product-layout:last-of-type button:first-of-type]
2022-08-25 02:17:40 INFO  TestBase:101 - Clicked on WebElement.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: div.product-layout:last-of-type button:first-of-type]
2022-08-25 02:17:40 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:40 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: ul.list-inline >li:nth-of-type(5) span]
2022-08-25 02:17:40 INFO  TestBase:96 - clicking WebElement.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: ul.list-inline >li:nth-of-type(5) span]
2022-08-25 02:17:41 INFO  TestBase:101 - Clicked on WebElement.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: ul.list-inline >li:nth-of-type(5) span]
2022-08-25 02:17:41 INFO  TestBase:12 - Test execution has started.....checkoutConfirmTest
2022-08-25 02:17:41 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:41 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: form.form-horizontal>div:nth-of-type(3) input]
2022-08-25 02:17:42 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:42 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: form.form-horizontal>div:nth-of-type(3) input]
2022-08-25 02:17:42 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:42 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: form.form-horizontal>div:nth-of-type(3) input]
2022-08-25 02:17:42 INFO  TestBase:96 - clicking WebElement.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: form.form-horizontal>div:nth-of-type(3) input]
2022-08-25 02:17:42 INFO  TestBase:101 - Clicked on WebElement.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: form.form-horizontal>div:nth-of-type(3) input]
2022-08-25 02:17:42 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:42 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #input-payment-firstname]
2022-08-25 02:17:42 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:42 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #input-payment-lastname]
2022-08-25 02:17:42 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:42 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #input-payment-company]
2022-08-25 02:17:42 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:42 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #input-payment-address-1]
2022-08-25 02:17:42 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:42 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #input-payment-address-2]
2022-08-25 02:17:42 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:42 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #input-payment-city]
2022-08-25 02:17:42 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:43 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #input-payment-postcode]
2022-08-25 02:17:43 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:43 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #input-payment-country]
2022-08-25 02:17:43 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:43 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #input-payment-country]
2022-08-25 02:17:43 INFO  TestBase:84 - Finding WebElement.....null
2022-08-25 02:17:43 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #input-payment-country]
2022-08-25 02:17:43 INFO  TestBase:84 - Finding WebElement.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #input-payment-country]
2022-08-25 02:17:43 INFO  TestBase:90 - WebElement found.....[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #input-payment-country]
2022-08-25 02:17:43 INFO  TestBase:96 - clicking WebElement.....[[[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #input-payment-country]] -> xpath: .//option[normalize-space(.) = "Canada"]]
2022-08-25 02:17:43 INFO  TestBase:101 - Clicked on WebElement.....[[[[ChromeDriver: chrome on WINDOWS (6c1a1ca0a30c591f6050823b8f5797af)] -> css selector: #input-payment-country]] -> xpath: .//option[normalize-space(.) = "Canada"]]
